agecell,all,alcohol,mva
19.068493,92.825401,0.63913804,35.829327
19.150684,95.100739,0.67740929,35.639256
19.232876,92.144295,0.86644262,34.20565
19.315069,88.427757,0.86730844,32.278957
19.397261,88.704941,1.0191631,32.650967
19.479452,90.191788,1.1713219,32.721443
19.561644,96.220306,0.86991632,36.385197
19.643835,89.615555,1.0979514,34.187935
19.726027,93.381699,1.1748509,31.910467
19.80822,90.857956,0.9484129,30.576832
19.890411,95.81015,1.3291142,33.531654
19.972603,94.158066,1.2164142,33.603443
20.054794,92.4646,1.0273844,31.772816
20.136986,98.245598,0.95273077,34.298309
20.219177,94.960403,1.3740251,33.32011
20.301371,93.385323,0.99386752,32.759403
20.383562,90.120918,1.2250932,30.589046
20.465754,92.406227,0.99691361,31.28775
20.547945,93.354485,0.960042,30.298925
20.630136,92.228783,0.96151769,30.230118
20.712328,92.332245,1.0015179,30.122578
20.794521,92.667511,1.1959587,29.74465
20.876713,93.390198,0.96597224,30.717916
20.958904,94.269913,1.2383568,30.417139
20.99999,NA,NA,NA
21,NA,NA,NA
21.041096,105.26835,2.5193088,36.316807
21.123287,101.06651,1.5919044,32.575798
21.205479,96.966522,1.3613431,33.022293
21.287672,102.8269,1.4416807,35.106873
21.369864,100.97943,1.3271359,32.358696
21.452055,101.23695,1.7205198,32.455261
21.534246,99.497597,1.1359962,31.533688
21.616438,95.201309,1.0202943,30.098682
21.698629,97.258247,1.6117979,30.388288
21.780823,98.928726,1.7328279,31.742258
21.863014,102.26221,1.3019494,34.481934
21.945206,96.833374,1.1461909,31.540012
22.027397,99.501968,1.3462263,31.834293
22.109589,96.072289,1.6263269,29.55155
22.19178,95.968208,1.8279659,30.836988
22.273973,98.610672,1.6322316,29.857895
22.356165,97.952469,1.5554341,28.75559
22.438356,97.411728,1.6381792,27.649269
22.520548,97.509476,1.5611123,28.260136
22.602739,95.562393,1.2431532,29.234152
22.684931,97.023064,0.88385397,29.528757
22.767124,99.374573,1.2074674,27.44976
22.849316,94.315308,1.3709793,26.855064
22.931507,97.397644,1.7774768,27.389301
