year,state,mrate,statename
1970,1,153.87046813964844,Alabama
1971,1,161.5352020263672,Alabama
1972,1,159.21348571777344,Alabama
1973,1,140.885986328125,Alabama
1974,1,143.0983123779297,Alabama
1975,1,147.94107055664062,Alabama
1976,1,132.6024627685547,Alabama
1977,1,145.8270263671875,Alabama
1978,1,138.7478485107422,Alabama
1979,1,135.4116973876953,Alabama
1980,1,120.10757446289062,Alabama
1981,1,105.87334442138672,Alabama
1982,1,118.30740356445312,Alabama
1983,1,128.1528778076172,Alabama
1984,1,106.058349609375,Alabama
1985,1,107.01972198486328,Alabama
1970,5,167.96688842773438,Arkansas
1971,5,162.7020263671875,Arkansas
1972,5,194.77879333496094,Arkansas
1973,5,167.58172607421875,Arkansas
1974,5,119.61934661865234,Arkansas
1975,5,148.94630432128906,Arkansas
1976,5,137.48776245117188,Arkansas
1977,5,111.52692413330078,Arkansas
1978,5,141.57467651367188,Arkansas
1979,5,136.3868865966797,Arkansas
1980,5,137.5155029296875,Arkansas
1981,5,95.88255310058594,Arkansas
1982,5,122.50186157226562,Arkansas
1983,5,110.20987701416016,Arkansas
1984,5,112.32150268554688,Arkansas
1985,5,109.48489379882812,Arkansas
1970,6,155.53570556640625,California
1971,6,143.29354858398438,California
1972,6,149.61410522460938,California
1973,6,139.74053955078125,California
1974,6,132.5506591796875,California
1975,6,129.83837890625,California
1976,6,126.61099243164062,California
1977,6,136.570068359375,California
1978,6,135.5367431640625,California
1979,6,139.76101684570312,California
1980,6,138.50161743164062,California
1981,6,120.98806762695312,California
1982,6,109.35298919677734,California
1983,6,102.10086059570312,California
1984,6,112.6727294921875,California
1985,6,110.7876968383789,California
1970,18,135.5489501953125,Indiana
1971,18,135.11444091796875,Indiana
1972,18,112.16719055175781,Indiana
1973,18,137.8066864013672,Indiana
1974,18,111.997314453125,Indiana
1975,18,114.8797378540039,Indiana
1976,18,118.66930389404297,Indiana
1977,18,123.91423034667969,Indiana
1978,18,118.28971099853516,Indiana
1979,18,116.00016784667969,Indiana
1980,18,101.84239196777344,Indiana
1981,18,94.94944763183594,Indiana
1982,18,98.91228485107422,Indiana
1983,18,105.03256225585938,Indiana
1984,18,88.34989166259766,Indiana
1985,18,87.98309326171875,Indiana
1970,21,146.59213256835938,Kentucky
1971,21,130.67471313476562,Kentucky
1972,21,138.69261169433594,Kentucky
1973,21,142.527099609375,Kentucky
1974,21,123.54720306396484,Kentucky
1975,21,131.2482147216797,Kentucky
1976,21,129.11404418945312,Kentucky
1977,21,133.32345581054688,Kentucky
1978,21,133.97085571289062,Kentucky
1979,21,127.58039093017578,Kentucky
1980,21,134.32171630859375,Kentucky
1981,21,119.32622528076172,Kentucky
1982,21,103.51918029785156,Kentucky
1983,21,115.09142303466797,Kentucky
1984,21,109.661865234375,Kentucky
1985,21,100.21633911132812,Kentucky
1970,29,161.68812561035156,Missouri
1971,29,134.32177734375,Missouri
1972,29,138.94387817382812,Missouri
1973,29,150.02784729003906,Missouri
1974,29,119.51121520996094,Missouri
1975,29,138.40032958984375,Missouri
1976,29,136.3634796142578,Missouri
1977,29,131.15904235839844,Missouri
1978,29,135.46426391601562,Missouri
1979,29,141.72463989257812,Missouri
1980,29,145.59530639648438,Missouri
1981,29,106.7323226928711,Missouri
1982,29,111.9849624633789,Missouri
1983,29,99.86582946777344,Missouri
1984,29,110.18931579589844,Missouri
1985,29,107.46820068359375,Missouri
1970,32,269.5918884277344,Nevada
1971,32,255.97621154785156,Nevada
1972,32,294.1068420410156,Nevada
1973,32,259.75823974609375,Nevada
1974,32,251.64537048339844,Nevada
1975,32,170.71609497070312,Nevada
1976,32,232.35133361816406,Nevada
1977,32,230.72120666503906,Nevada
1978,32,186.9547119140625,Nevada
1979,32,228.03619384765625,Nevada
1980,32,218.33554077148438,Nevada
1981,32,200.54981994628906,Nevada
1982,32,183.4700164794922,Nevada
1983,32,163.8582000732422,Nevada
1984,32,148.92886352539062,Nevada
1985,32,135.2281036376953,Nevada
1970,35,213.04638671875,New Mexico
1971,35,241.8820343017578,New Mexico
1972,35,186.84022521972656,New Mexico
1973,35,233.84889221191406,New Mexico
1974,35,231.58200073242188,New Mexico
1975,35,205.3531494140625,New Mexico
1976,35,153.48464965820312,New Mexico
1977,35,201.44076538085938,New Mexico
1978,35,201.62628173828125,New Mexico
1979,35,211.06491088867188,New Mexico
1980,35,208.28073120117188,New Mexico
1981,35,180.47845458984375,New Mexico
1982,35,184.54525756835938,New Mexico
1983,35,153.3531951904297,New Mexico
1984,35,166.7848663330078,New Mexico
1985,35,159.6401824951172,New Mexico
1970,38,143.00936889648438,North Dakota
1971,38,135.92750549316406,North Dakota
1972,38,187.72488403320312,North Dakota
1973,38,151.72164916992188,North Dakota
1974,38,128.0377655029297,North Dakota
1975,38,161.36524963378906,North Dakota
1976,38,116.69445037841797,North Dakota
1977,38,150.30531311035156,North Dakota
1978,38,110.23289489746094,North Dakota
1979,38,129.37522888183594,North Dakota
1980,38,172.95298767089844,North Dakota
1981,38,141.81968688964844,North Dakota
1982,38,91.13001251220703,North Dakota
1983,38,83.6885757446289,North Dakota
1984,38,90.75408172607422,North Dakota
1985,38,87.6296157836914,North Dakota
1970,41,134.10450744628906,Oregon
1971,41,157.86123657226562,Oregon
1972,41,145.32301330566406,Oregon
1973,41,135.48739624023438,Oregon
1974,41,155.10467529296875,Oregon
1975,41,135.85577392578125,Oregon
1976,41,144.99795532226562,Oregon
1977,41,152.45521545410156,Oregon
1978,41,157.06373596191406,Oregon
1979,41,118.74656677246094,Oregon
1980,41,135.02098083496094,Oregon
1981,41,113.32231903076172,Oregon
1982,41,102.82032012939453,Oregon
1983,41,113.50920867919922,Oregon
1984,41,117.10391235351562,Oregon
1985,41,113.98509216308594,Oregon
1970,42,115.32965850830078,Pennsylvania
1971,42,108.22492980957031,Pennsylvania
1972,42,107.87571716308594,Pennsylvania
1973,42,113.64027404785156,Pennsylvania
1974,42,112.992431640625,Pennsylvania
1975,42,105.83350372314453,Pennsylvania
1976,42,102.49822998046875,Pennsylvania
1977,42,103.48542785644531,Pennsylvania
1978,42,100.68093872070312,Pennsylvania
1979,42,103.46603393554688,Pennsylvania
1980,42,105.41423797607422,Pennsylvania
1981,42,96.92765808105469,Pennsylvania
1982,42,90.79808044433594,Pennsylvania
1983,42,84.4737548828125,Pennsylvania
1984,42,79.03556823730469,Pennsylvania
1985,42,76.00397491455078,Pennsylvania
1970,49,158.20355224609375,Utah
1971,49,109.70475769042969,Utah
1972,49,132.199462890625,Utah
1973,49,140.7330322265625,Utah
1974,49,93.70719909667969,Utah
1975,49,106.71983337402344,Utah
1976,49,96.285003662109375,Utah
1977,49,129.5774688720703,Utah
1978,49,108.91900634765625,Utah
1979,49,112.46113586425781,Utah
1980,49,106.56077575683594,Utah
1981,49,113.58473205566406,Utah
1982,49,99.37535858154297,Utah
1983,49,99.80039978027344,Utah
1984,49,94.76609802246094,Utah
1985,49,89.13692474365234,Utah
1970,53,137.4842529296875,Washington
1971,53,130.84756469726562,Washington
1972,53,128.0298309326172,Washington
1973,53,132.41976928710938,Washington
1974,53,130.83682250976562,Washington
1975,53,131.42794799804688,Washington
1976,53,121.42019653320312,Washington
1977,53,128.86598205566406,Washington
1978,53,133.3297119140625,Washington
1979,53,132.64352416992188,Washington
1980,53,123.94975280761719,Washington
1981,53,115.47493743896484,Washington
1982,53,111.89407348632812,Washington
1983,53,103.76074981689453,Washington
1984,53,106.99122619628906,Washington
1985,53,101.40196990966797,Washington
