date,fiscalyear,item,itemid,normalization,normid,val
1867,1867,Canada savings bonds,312,Nominal dollars (millions),1,0
1867,1867,Canada savings bonds,312,Percent of GDP,2,0
1867,1867,Canada savings bonds,312,Percent of total revenue,3, 
1867,1867,Canada savings bonds,312,Real per capita dollars,4,0
1867,1867,Canada savings bonds,312,Real dollars (millions),5,0
1867,1867,Financial assets,200,Nominal dollars (millions),1,17
1867,1867,Financial assets,200,Percent of GDP,2,4.5572963
1867,1867,Financial assets,200,Percent of total revenue,3, 
1867,1867,Financial assets,200,Real per capita dollars,4,153.75276
1867,1867,Financial assets,200,Real dollars (millions),5,532.12097
1867,1867,Gross federal debt,300,Nominal dollars (millions),1,93
1867,1867,Gross federal debt,300,Percent of GDP,2,24.931093
1867,1867,Gross federal debt,300,Percent of total revenue,3, 
1867,1867,Gross federal debt,300,Real per capita dollars,4,841.11804
1867,1867,Gross federal debt,300,Real dollars (millions),5,2911.0146
1867,1867,Marketable bonds,313,Nominal dollars (millions),1,69
1867,1867,Marketable bonds,313,Percent of GDP,2,18.497263
1867,1867,Marketable bonds,313,Percent of total revenue,3, 
1867,1867,Marketable bonds,313,Real per capita dollars,4,624.05536
1867,1867,Marketable bonds,313,Real dollars (millions),5,2159.7849
1867,1867,Net federal debt,100,Nominal dollars (millions),1,76
1867,1867,Net federal debt,100,Percent of GDP,2,20.373796
1867,1867,Net federal debt,100,Percent of total revenue,3, 
1867,1867,Net federal debt,100,Real per capita dollars,4,687.3653
1867,1867,Net federal debt,100,Real dollars (millions),5,2378.8936
1867,1867,Other liabilities,330,Nominal dollars (millions),1,-69
1867,1867,Other liabilities,330,Percent of GDP,2,-18.497263
1867,1867,Other liabilities,330,Percent of total revenue,3, 
1867,1867,Other liabilities,330,Real per capita dollars,4,-624.05536
1867,1867,Other liabilities,330,Real dollars (millions),5,-2159.7849
1867,1867,Superannuation accounts,320,Nominal dollars (millions),1,0
1867,1867,Superannuation accounts,320,Percent of GDP,2,0
1867,1867,Superannuation accounts,320,Percent of total revenue,3, 
1867,1867,Superannuation accounts,320,Real per capita dollars,4,0
1867,1867,Superannuation accounts,320,Real dollars (millions),5,0
1867,1867,Treasury bills,311,Nominal dollars (millions),1,0
1867,1867,Treasury bills,311,Percent of GDP,2,0
1867,1867,Treasury bills,311,Percent of total revenue,3, 
1867,1867,Treasury bills,311,Real per capita dollars,4,0
1867,1867,Treasury bills,311,Real dollars (millions),5,0
1867,1867,Unmatured debt,310,Nominal dollars (millions),1,69
1867,1867,Unmatured debt,310,Percent of GDP,2,18.497263
1867,1867,Unmatured debt,310,Percent of total revenue,3, 
1867,1867,Unmatured debt,310,Real per capita dollars,4,624.05536
1867,1867,Unmatured debt,310,Real dollars (millions),5,2159.7849
1867,1867,Unmatured debt payable in foreign currencies,401,Nominal dollars (millions),1,67
1867,1867,Unmatured debt payable in foreign currencies,401,Percent of GDP,2,17.961109
1867,1867,Unmatured debt payable in foreign currencies,401,Percent of total revenue,3, 
1867,1867,Unmatured debt payable in foreign currencies,401,Real per capita dollars,4,605.9668
1867,1867,Unmatured debt payable in foreign currencies,401,Real dollars (millions),5,2097.1826
1868,1867/1868,Canada savings bonds,312,Nominal dollars (millions),1,0
1868,1867/1868,Canada savings bonds,312,Percent of GDP,2,0
1868,1867/1868,Canada savings bonds,312,Percent of total revenue,3,0
1868,1867/1868,Canada savings bonds,312,Real per capita dollars,4,0
